TypeOfFood;Energy;Protein;Fat;Water;VitaminA;VitaminB1;VitaminB2;VitaminC
Cauliflower_raw;15;2;0;93;5;0.1;0.1;60
Celeriac_boiled;15;1.5;0;90;0;0.04;0.04;4
Celery_boiled;5;0.6;0;96;0;0;0;5
Celery_raw;10;1;0;94;0;0.03;0.03;7
Chapatis_made with fat;340;8;13;29;0;0.25;0.05;0
Chapatis_made without fat;200;7;1;46;0;0.23;0.04;0
Cheese_Camembert_soft type;300;23;23;48;250;0.05;0.6;0
Cheese_cheddar_hard type;400;26;34;37;400;0.04;0.5;0
Cheese_cottage;100;14;0.5;79;30;0;0.2;0
Cheese_cream;440;3;47;45;450;0;0.15;0
Cheese_Danish blue;360;23;29;40;300;0.03;0.6;0
Cheese_Edam;300;24;23;44;300;0.04;0.4;0
Cheese_Parmesan;400;35;30;28;400;0;0.5;0
Cheese_processed;300;22;25;43;250;0;0.3;0
Cheese_Stilton;460;26;40;28;450;0.07;0.3;0
Cherries;40;0.5;0;70;15;0.04;0.06;5
Cherries_glace;200;0;0;44;0;0;0;0
Chestnuts;170;2;2.7;50;0;0.2;0.2;0
Chicken_boiled_boned;180;29;7;63;0;0.06;0.2;0
Chicken_raw (meat and skin);230;18;18;64;0;0.1;0.1;0
Chicken_raw_boned;120;21;4;74;0;0.1;0.2;0
Chicken_roast_(meat and skin);220;23;14;62;0;0.1;0.2;0
Chicken_roast_boned;150;25;5;68;0;0.1;0.2;0
Chicory;10;0.8;0;96;0;0.05;0.05;4
Chocolate_milk;530;8;30;2;0;0.1;0.2;0
Chocolate_plain;530;5;29;1;0;0.1;0.1;0
Christmas pudding;300;5;12;39;20;0.1;0.1;0
Cider_dry;35;0;0;100;0;0;0;0
Cider_sweet;40;0;0;100;0;0;0;0
Cockles_boiled;50;11;0.3;79;0;0;0;0
Cocoa powder;300;19;22;3;0;0.2;0.06;0
Coconut;350;3;36;42;0;0;0;0
Coconut_desiccated;600;6;62;2;0;0.06;0.04;0
Cod fillet_baked;100;21;1.2;77;0;0.1;0.1;0
Cod fillet_fried;185;20.5;9;63;0;0.1;0.1;0
Cod fillet_grilled;100;21;1.3;78;0;0.1;0.1;0
Cod fillet_poached;90;21;1;78;0;0.1;0.1;0
Cod fillet_steamed;80;19;1;79;0;0.1;0.1;0
Cod fillet_raw;80;17;0.7;82;0;0.1;0.1;0
Cornflakes;350;350;8;0.5;3;0;1;1.5
Cornflour;350;0.6;0.7;12;0;0;0;0
Cornish pastie;330;8;20;39;0;0.1;0.1;0
Crab_boiled;130;20;5;73;0;0.1;0.2;0
Crab_canned;80;18;1;79;0;0;0.1;0
Cranberries;15;0.5;0;87;0;0.03;0;10
Cream_double;450;1.5;48;48;400;0;0.1;0
Cream_single;200;2.4;21.2;72;250;0.03;0.1;0
Cream_sterilised;230;2.6;23;70;200;0;0.1;0
Cream_whipping;330;1.9;35;61.5;300;0;0.1;0
Crispbread_rye;320;9.5;2;6;0;0.3;0.15;0
Crispbread_wheat_starch reduced;390;45;7.5;5;0;0.15;0.1;0
Cucumber;10;0.6;0;96;0;0.04;0.04;8
Currants_dried;240;2;0;20;0;0.03;0.08;0
Custard_egg;120;6;6;77;60;0.05;0.3;0
Custard;120;4;4;75;40;0.05;0.2;0
Damsons;35;0.4;0;70;0;0.09;0.03;0
Dates_dried;210;2;0;12;0;0.06;0.03;0
Dogfish_fried;270;17;19;54;0;0.1;0.1;0
Drinking chocolate;370;6;6;2;0;0.06;0.04;0
Dripping;900;0;100;0;0;0;0;0
Duck_raw_(meat and skin);430;11;43;44;0;0.3;0.4;0
Duck_raw_boned;120;20;5;75;0;0.4;0.5;0
Duck_roast_(meat and skin);190;25;10;64;0;0.3;0.5;0
Dumpling;200;3;12;60;0;0;0;0
Eel_raw;170;17;11;71;1500;0.2;0.35;0
Eel_stewed;200;21;13;61;2000;0.1;0.4;0
Egg white;35;9;0;88.3;0;0;0.4;0
Egg yolk;340;16.1;30.5;51;400;0.3;0.5;0
Egg_dried;560;43.6;43.3;7;500;0.35;1.2;0
Egg_scrambled;250;10;23;62;150;0.1;0.3;0
Egg_whole_raw;150;12.3;10.9;74.8;140;0.1;0.5;0
Endive;12;2;0;94;400;0.06;0.1;10
Fat_Cooking;900;0;100;0;0;0;0;0
figs_dried_raw;210;4;0;17;0;0.1;0.08;0
Fish cakes_frozen;110;11;0.8;70;0;0.06;0.25;0
Fish fingers_frozen;180;13;7.5;64;0;0.1;0.1;0
Fish fingers_fried;230;13.5;13;56;0;0.1;0.1;0
Fish paste;170;15;10;67;0;0;0.2;0
Flour_brown;330;13;2;14;0;0.4;0.05;0
Flour_white;340;11;1.2;14.5;0;0.3;0.03;0
Flour_white_self-raising;340;9;1.2;13;0;0.3;0;0
Flour_wholemeal;320;13;2;14;0;0.5;0.1;0
Fruit gums;170;1;0;12;0;0;0;0
Fruit juice_sweetened;40;0;0;87;0;0.04;0;25
Fruit juice_unsweetened;30;0;0;90;0;0.04;0;25
Fruit pie_individual;370;4;16;23;0;0.05;0;0
Fruit salad_canned;90;0.3;0;70;0;0;0;0
Goose_roast;320;29;22;47;0;0;0;0
Gooseberries;20;1;0;90;30;0.04;0.03;40
Grape-nuts (breakfast cereal);360;11;3;4;1300;1.2;1.6;0
Grapefruit_canned in syrup;60;0.5;0;82;0;0.04;0;30
Grapefruit_peeled;20;0.5;0;90;0;0.05;0;40
Grapes_black;50;0.5;0;65;0;0.04;0;0
Grapes_white;60;0.6;0;75;0;0.04;0;0
Greengages;50;1;0;75;0;0.05;0.03;0
Haggis_boiled;300;11;22;46;2000;0.2;0.4;0
Halibut_raw;90;18;2.5;78;0;0.1;0.1;0
Halibut_steamed;130;24;4;71;0;0.1;0.1;0
Ham;120;18;5;73;0;0.5;0.3;0
Hamburgers_fried;260;20;17;53;0;0;0.2;0
Hamburgers_raw;270;15;21;56;0;0.04;0.2;0
Hare_stewed (with bones);140;22;6;44;0;0;0;0
Heart_roast;240;26;15;57;0;0.5;1.5;0
Heart_raw;100;19;4;76;0;0.5;1;5
Heart_stewed;180;31;6;62;0;0.2;1.1;0
Herring_raw;230;17;19;64;50;0;0.2;0
Herring_fried in oatmeal;230;23;15;59;40;0;0.2;0
Herring_grilled;200;20;13;66;50;0;0.2;0
Honey;290;0;0;23;0;0;0;0
Ice cream_dairy;170;4;7;64;0;0.04;0.2;0
Ice cream_non-dairy;170;3;8;66;0;0.04;0.15;0
Jams;260;0;0;30;0;0;0;10
Jelly_packet;260;6;0;30;0;0;0;0
Kidney_raw;90;17;3;79;100;0.5;1.8;10
Kidney_fried;150;25;6;67;160;0.6;2.3;10
Kidney_stewed;170;26;8;64;250;0.3;2;10
Kipper_baked;200;26;11;59;50;0;0.2;0
Lamb cutlet_grilled;370;23;31;45;0;0.1;0.2;0
Lamb cutlet_raw;400;15;36;48;0;0.1;0.15;0
Lamb_breast_raw;380;17;35;48;0;0.08;0.17;0
Lamb_breast_roast;400;19;37;44;0;0.06;0.17;0
Lamb_chops_loin_grilled;350;24;29;46;0;0.1;0.2;0
